token	corpus size	all contexts size	frequency	co-frequency	specificity
现代	164029	17316	63	13	2.10
变	164029	17316	43	10	2.08
所以	164029	17316	100	18	2.06
意识	164029	17316	37	9	2.05
题材	164029	17316	9	4	2.05
早期	164029	17316	31	8	2.03
来源	164029	17316	5	3	2.03
性质	164029	17316	5	3	2.03
诗经	164029	17316	5	3	2.03
指代	164029	17316	5	3	2.03
伤害人	164029	17316	5	3	2.03
建筑物	164029	17316	5	3	2.03
监控	164029	17316	5	3	2.03
摸	164029	17316	5	3	2.03
强烈	164029	17316	5	3	2.03
凶恶	164029	17316	5	3	2.03
尤其	164029	17316	25	7	2.03
使得	164029	17316	14	5	2.02
压	164029	17316	14	5	2.02
能	164029	17316	270	39	2.02
——	164029	17316	94	17	2.01
而	164029	17316	436	58	1.96
近似	164029	17316	2	2	1.95
維度	164029	17316	2	2	1.95
片名	164029	17316	2	2	1.95
得益	164029	17316	2	2	1.95
鞭炮	164029	17316	2	2	1.95
传遍	164029	17316	2	2	1.95
由此可见	164029	17316	2	2	1.95
闻名	164029	17316	2	2	1.95
有意思	164029	17316	2	2	1.95
蛆虫	164029	17316	2	2	1.95
日语	164029	17316	2	2	1.95
自从	164029	17316	2	2	1.95
文艺	164029	17316	2	2	1.95
室内	164029	17316	2	2	1.95
护身	164029	17316	2	2	1.95
假借	164029	17316	2	2	1.95
灵气	164029	17316	2	2	1.95
居住木	164029	17316	2	2	1.95
各处	164029	17316	2	2	1.95
杀身	164029	17316	2	2	1.95
十六	164029	17316	2	2	1.95
楚人	164029	17316	2	2	1.95
幾	164029	17316	2	2	1.95
學問	164029	17316	2	2	1.95
視劇	164029	17316	2	2	1.95
板橋	164029	17316	2	2	1.95
烙印	164029	17316	2	2	1.95
至上性	164029	17316	2	2	1.95
辞	164029	17316	2	2	1.95
小篆	164029	17316	2	2	1.95
定型	164029	17316	2	2	1.95
下部	164029	17316	2	2	1.95
凡鬼	164029	17316	2	2	1.95
亥集	164029	17316	2	2	1.95
鬼字部	164029	17316	2	2	1.95
尔雅	164029	17316	2	2	1.95
释训	164029	17316	2	2	1.95
离形	164029	17316	2	2	1.95
真宅	164029	17316	2	2	1.95
黠	164029	17316	2	2	1.95
循	164029	17316	2	2	1.95
终极	164029	17316	2	2	1.95
特殊目	164029	17316	2	2	1.95
先天	164029	17316	2	2	1.95
仪轨	164029	17316	2	2	1.95
贞	164029	17316	2	2	1.95
字符	164029	17316	2	2	1.95
互换	164029	17316	2	2	1.95
区分	164029	17316	2	2	1.95
潜入	164029	17316	2	2	1.95
振出	164029	17316	2	2	1.95
深入人心	164029	17316	2	2	1.95
骇人	164029	17316	2	2	1.95
肩上	164029	17316	2	2	1.95
毛绒	164029	17316	2	2	1.95
底什	164029	17316	2	2	1.95
长河	164029	17316	2	2	1.95
鬼代	164029	17316	2	2	1.95
终日	164029	17316	2	2	1.95
革命性	164029	17316	2	2	1.95
吓坏	164029	17316	2	2	1.95
奇鬼	164029	17316	2	2	1.95
投入	164029	17316	2	2	1.95
黑色幽默	164029	17316	2	2	1.95
主动	164029	17316	2	2	1.95
异能	164029	17316	2	2	1.95
夜别	164029	17316	2	2	1.95
guǐh	164029	17316	2	2	1.95
賊害	164029	17316	2	2	1.95
善业	164029	17316	2	2	1.95
耽误	164029	17316	2	2	1.95
狐狸	164029	17316	2	2	1.95
成为	164029	17316	66	13	1.95
简单	164029	17316	20	6	1.95
作品	164029	17316	46	10	1.90
英语	164029	17316	226	33	1.90
众生	164029	17316	15	5	1.89
回到	164029	17316	15	5	1.89
共同	164029	17316	15	5	1.89
口中	164029	17316	10	4	1.87
喜	164029	17316	10	4	1.87
闹	164029	17316	10	4	1.87
大多	164029	17316	10	4	1.87
看法	164029	17316	10	4	1.87
上古	164029	17316	10	4	1.87
两	164029	17316	98	17	1.86
社会	164029	17316	83	15	1.86
觉得	164029	17316	27	7	1.86
文字	164029	17316	21	6	1.85
则	164029	17316	138	22	1.84
可能	164029	17316	187	28	1.84
culture	164029	17316	34	8	1.81
多	164029	17316	256	36	1.81
如	164029	17316	156	24	1.80
类	164029	17316	77	14	1.80
有人	164029	17316	48	10	1.79
不	164029	17316	1393	161	1.79
找到	164029	17316	28	7	1.78
便是	164029	17316	16	5	1.78
树	164029	17316	16	5	1.78
算是	164029	17316	6	3	1.77
郊外	164029	17316	6	3	1.77
卒	164029	17316	6	3	1.77
南瓜灯	164029	17316	6	3	1.77
祭鬼	164029	17316	6	3	1.77
多种	164029	17316	6	3	1.77
客观	164029	17316	6	3	1.77
机灵	164029	17316	6	3	1.77
恐怕	164029	17316	6	3	1.77
损伤	164029	17316	6	3	1.77
相对	164029	17316	6	3	1.77
身份	164029	17316	6	3	1.77
还	164029	17316	141	22	1.77
却	164029	17316	78	14	1.76
分	164029	17316	22	6	1.76
比如	164029	17316	35	8	1.75
在	164029	17316	1425	163	1.73
至今	164029	17316	11	4	1.73
菲律宾	164029	17316	11	4	1.73
夜晚	164029	17316	11	4	1.73
遇	164029	17316	11	4	1.73
白天	164029	17316	11	4	1.73
行走	164029	17316	11	4	1.73
精气	164029	17316	11	4	1.73
影响	164029	17316	79	14	1.73
人们	164029	17316	193	28	1.72
声称	164029	17316	29	7	1.71
国	164029	17316	57	11	1.70
害人	164029	17316	36	8	1.69
将	164029	17316	161	24	1.69
可怕	164029	17316	23	6	1.68
或	164029	17316	370	48	1.68
居住	164029	17316	17	5	1.67
究竟	164029	17316	17	5	1.67
汉字	164029	17316	17	5	1.67
总是	164029	17316	17	5	1.67
像	164029	17316	73	13	1.67
他	164029	17316	318	42	1.66
本	164029	17316	44	9	1.63
故	164029	17316	44	9	1.63
令	164029	17316	37	8	1.63
发展	164029	17316	37	8	1.63
四	164029	17316	67	12	1.60
百	164029	17316	24	6	1.60
传统	164029	17316	52	10	1.60
都	164029	17316	314	41	1.60
迷路	164029	17316	12	4	1.60
大部分	164029	17316	12	4	1.60
风	164029	17316	12	4	1.60
丰富	164029	17316	12	4	1.60
脑袋	164029	17316	12	4	1.60
样	164029	17316	12	4	1.60
灵魂	164029	17316	107	17	1.60
某些	164029	17316	45	9	1.59
马	164029	17316	18	5	1.58
wikipedia	164029	17316	7	3	1.58
inde	164029	17316	7	3	1.58
php	164029	17316	7	3	1.58
oldid	164029	17316	7	3	1.58
堕入	164029	17316	7	3	1.58
套	164029	17316	7	3	1.58
甲骨	164029	17316	7	3	1.58
guǐ	164029	17316	7	3	1.58
本义	164029	17316	7	3	1.58
鬼话	164029	17316	7	3	1.58
对方	164029	17316	7	3	1.58
诞生	164029	17316	7	3	1.58
背	164029	17316	7	3	1.58
包含	164029	17316	31	7	1.58
你	164029	17316	281	37	1.57
重要	164029	17316	46	9	1.54
那天	164029	17316	3	2	1.52
街道	164029	17316	3	2	1.52
万	164029	17316	3	2	1.52
鬼卒	164029	17316	3	2	1.52
杖击	164029	17316	3	2	1.52
骗人	164029	17316	3	2	1.52
就要	164029	17316	3	2	1.52
狀態	164029	17316	3	2	1.52
斗鬼	164029	17316	3	2	1.52
意识形态	164029	17316	3	2	1.52
层次	164029	17316	3	2	1.52
归类	164029	17316	3	2	1.52
从厶	164029	17316	3	2	1.52
電	164029	17316	3	2	1.52
鲜明	164029	17316	3	2	1.52
美术	164029	17316	3	2	1.52
得道	164029	17316	3	2	1.52
赞美	164029	17316	3	2	1.52
形貌	164029	17316	3	2	1.52
自然规律	164029	17316	3	2	1.52
电视剧	164029	17316	3	2	1.52
量体	164029	17316	3	2	1.52
符箓	164029	17316	3	2	1.52
关键	164029	17316	3	2	1.52
青铜	164029	17316	3	2	1.52
铭文	164029	17316	3	2	1.52
蜮	164029	17316	3	2	1.52
穿着	164029	17316	3	2	1.52
乎	164029	17316	3	2	1.52
国人	164029	17316	3	2	1.52
周作人	164029	17316	3	2	1.52
街头	164029	17316	3	2	1.52
伤感	164029	17316	3	2	1.52
今人	164029	17316	3	2	1.52
列举	164029	17316	3	2	1.52
死于非命	164029	17316	3	2	1.52
谈论	164029	17316	3	2	1.52
图腾	164029	17316	3	2	1.52
屎	164029	17316	3	2	1.52
啦	164029	17316	3	2	1.52
王遥	164029	17316	3	2	1.52
智力	164029	17316	3	2	1.52
蓬头鬼	164029	17316	3	2	1.52
仅	164029	17316	32	7	1.52
能够	164029	17316	54	10	1.52
错误	164029	17316	19	5	1.50
正是	164029	17316	19	5	1.50
【	164029	17316	47	9	1.50
附身	164029	17316	13	4	1.49
核心	164029	17316	13	4	1.49
呢	164029	17316	40	8	1.48
特殊	164029	17316	33	7	1.46
一直	164029	17316	33	7	1.46
我们	164029	17316	300	38	1.45
以及	164029	17316	56	10	1.44
和	164029	17316	742	84	1.43
时期	164029	17316	41	8	1.43
之一	164029	17316	41	8	1.43
分为	164029	17316	8	3	1.42
虽	164029	17316	8	3	1.42
深远	164029	17316	8	3	1.42
常人	164029	17316	8	3	1.42
渐渐	164029	17316	8	3	1.42
利用	164029	17316	8	3	1.42
为生	164029	17316	20	5	1.42
resize	164029	17316	20	5	1.42
lfit	164029	17316	20	5	1.42
limit	164029	17316	20	5	1.42
应	164029	17316	20	5	1.42
某种	164029	17316	27	6	1.41
条	164029	17316	27	6	1.41
自己	164029	17316	187	25	1.39
形成	164029	17316	66	11	1.38
感觉	164029	17316	58	10	1.37
记载	164029	17316	35	7	1.36
头发	164029	17316	21	5	1.35
专门	164029	17316	21	5	1.35
理解	164029	17316	28	6	1.35
真实	164029	17316	28	6	1.35
用	164029	17316	190	25	1.35
其中	164029	17316	59	10	1.34
没	164029	17316	59	10	1.34
连	164029	17316	51	9	1.34
《	164029	17316	676	74	1.33
恐惧	164029	17316	85	13	1.31
作为	164029	17316	44	8	1.31
非	164029	17316	44	8	1.31
們	164029	17316	15	4	1.30
演变	164029	17316	15	4	1.30
复杂	164029	17316	15	4	1.30
时候	164029	17316	77	12	1.30
》	164029	17316	676	71	1.30
那	164029	17316	157	21	1.30
把	164029	17316	148	20	1.30
title	164029	17316	9	3	1.30
平安	164029	17316	9	3	1.30
中华	164029	17316	9	3	1.30
鬼文化	164029	17316	9	3	1.30
原始社会	164029	17316	9	3	1.30
光明	164029	17316	9	3	1.30
录音	164029	17316	9	3	1.30
面对	164029	17316	9	3	1.30
经	164029	17316	22	5	1.29
怪	164029	17316	22	5	1.29
谈	164029	17316	22	5	1.29
因	164029	17316	78	12	1.28
靠	164029	17316	37	7	1.28
随着	164029	17316	37	7	1.28
状态	164029	17316	37	7	1.28
太	164029	17316	53	9	1.27
過	164029	17316	4	2	1.27
很快	164029	17316	4	2	1.27
西瓜	164029	17316	4	2	1.27
色	164029	17316	4	2	1.27
村	164029	17316	4	2	1.27
众	164029	17316	4	2	1.27
进食	164029	17316	4	2	1.27
香	164029	17316	4	2	1.27
洁	164029	17316	4	2	1.27
继承	164029	17316	4	2	1.27
载体	164029	17316	4	2	1.27
衰	164029	17316	4	2	1.27
符合	164029	17316	4	2	1.27
体制	164029	17316	4	2	1.27
小儿	164029	17316	4	2	1.27
破法	164029	17316	4	2	1.27
肩膀	164029	17316	4	2	1.27
地域	164029	17316	4	2	1.27
雕塑	164029	17316	4	2	1.27
远远	164029	17316	4	2	1.27
通用	164029	17316	4	2	1.27
许慎	164029	17316	4	2	1.27
模拟	164029	17316	4	2	1.27
丑恶	164029	17316	4	2	1.27
形体	164029	17316	4	2	1.27
引申	164029	17316	4	2	1.27
胡乱	164029	17316	4	2	1.27
可是	164029	17316	4	2	1.27
色鬼	164029	17316	4	2	1.27
降低	164029	17316	4	2	1.27
潜意识	164029	17316	4	2	1.27
警惕	164029	17316	4	2	1.27
主播	164029	17316	4	2	1.27
心目	164029	17316	4	2	1.27
维度	164029	17316	4	2	1.27
未必	164029	17316	4	2	1.27
悲惨	164029	17316	4	2	1.27
渴望	164029	17316	4	2	1.27
变迁史	164029	17316	4	2	1.27
荒诞感	164029	17316	4	2	1.27
史	164029	17316	4	2	1.27
王充	164029	17316	4	2	1.27
生人	164029	17316	4	2	1.27
矛盾	164029	17316	4	2	1.27
猝然	164029	17316	4	2	1.27
下雨	164029	17316	4	2	1.27
兽	164029	17316	4	2	1.27
喷	164029	17316	4	2	1.27
sound	164029	17316	4	2	1.27
三十六	164029	17316	4	2	1.27
面目	164029	17316	4	2	1.27
藏身	164029	17316	4	2	1.27
此类鬼	164029	17316	4	2	1.27
具有	164029	17316	45	8	1.27
由于	164029	17316	45	8	1.27
被	164029	17316	385	44	1.26
发生	164029	17316	62	10	1.25
大脑	164029	17316	106	15	1.24
住	164029	17316	54	9	1.24
而是	164029	17316	38	7	1.24
地方	164029	17316	89	13	1.23
比较	164029	17316	23	5	1.23
起源	164029	17316	23	5	1.23
等等	164029	17316	23	5	1.23
首先	164029	17316	16	4	1.23
】	164029	17316	47	8	1.20
然而	164029	17316	31	6	1.20
形式	164029	17316	31	6	1.20
神秘	164029	17316	31	6	1.20
现在	164029	17316	39	7	1.20
org	164029	17316	10	3	1.19
阶段	164029	17316	10	3	1.19
举	164029	17316	10	3	1.19
麻痹	164029	17316	10	3	1.19
第三	164029	17316	10	3	1.19
义	164029	17316	10	3	1.19
其	164029	17316	238	28	1.17
那些	164029	17316	48	8	1.17
他们	164029	17316	218	26	1.17
观念	164029	17316	40	7	1.16
部分	164029	17316	40	7	1.16
经常	164029	17316	40	7	1.16
接	164029	17316	40	7	1.16
皆	164029	17316	32	6	1.16
且	164029	17316	32	6	1.16
对于	164029	17316	57	9	1.16
礼记	164029	17316	17	4	1.16
English	164029	17316	17	4	1.16
每年	164029	17316	17	4	1.16
有着	164029	17316	17	4	1.16
或许	164029	17316	17	4	1.16
最	164029	17316	170	21	1.15
有些	164029	17316	58	9	1.14
着	164029	17316	237	27	1.13
原	164029	17316	33	6	1.12
应该	164029	17316	33	6	1.12
才	164029	17316	86	12	1.12
可	164029	17316	105	14	1.12
看	164029	17316	135	17	1.11
造成	164029	17316	42	7	1.10
自杀	164029	17316	11	3	1.10
脱离	164029	17316	11	3	1.10
突出	164029	17316	11	3	1.10
上述	164029	17316	11	3	1.10
睡觉	164029	17316	11	3	1.10
作祟	164029	17316	11	3	1.10
明显	164029	17316	11	3	1.10
美女	164029	17316	11	3	1.10
鬼类	164029	17316	11	3	1.10
事情	164029	17316	18	4	1.10
除非	164029	17316	5	2	1.10
何	164029	17316	5	2	1.10
──	164029	17316	5	2	1.10
路上	164029	17316	5	2	1.10
先秦	164029	17316	5	2	1.10
典籍	164029	17316	5	2	1.10
狱中	164029	17316	5	2	1.10
俗称	164029	17316	5	2	1.10
接着	164029	17316	5	2	1.10
加	164029	17316	5	2	1.10
荒野	164029	17316	5	2	1.10
2019年	164029	17316	5	2	1.10
信鬼	164029	17316	5	2	1.10
情鬼	164029	17316	5	2	1.10
多年	164029	17316	5	2	1.10
说是	164029	17316	5	2	1.10
合一	164029	17316	5	2	1.10
显著	164029	17316	5	2	1.10
另一方面	164029	17316	5	2	1.10
深刻	164029	17316	5	2	1.10
康熙	164029	17316	5	2	1.10
量子	164029	17316	5	2	1.10
沟通	164029	17316	5	2	1.10
坚定	164029	17316	5	2	1.10
称作	164029	17316	5	2	1.10
分布	164029	17316	5	2	1.10
严格	164029	17316	5	2	1.10
符号	164029	17316	5	2	1.10
几十	164029	17316	5	2	1.10
仔细	164029	17316	5	2	1.10
样貌	164029	17316	5	2	1.10
动静	164029	17316	5	2	1.10
必定	164029	17316	5	2	1.10
结局	164029	17316	5	2	1.10
玩具	164029	17316	5	2	1.10
神圣	164029	17316	5	2	1.10
童年	164029	17316	5	2	1.10
城乡	164029	17316	5	2	1.10
恐怖片	164029	17316	5	2	1.10
恐惧感	164029	17316	5	2	1.10
无异	164029	17316	5	2	1.10
无鬼论者	164029	17316	5	2	1.10
骗	164029	17316	5	2	1.10
有声鬼	164029	17316	5	2	1.10
格式	164029	17316	5	2	1.10
妮妮	164029	17316	5	2	1.10
走路	164029	17316	5	2	1.10
咋	164029	17316	5	2	1.10
有毒	164029	17316	5	2	1.10
复仇	164029	17316	5	2	1.10
痴迷	164029	17316	5	2	1.10
产生	164029	17316	97	13	1.10
这里	164029	17316	34	6	1.09
黑暗	164029	17316	34	6	1.09
并	164029	17316	202	23	1.09
大	164029	17316	242	26	1.08
寻找	164029	17316	26	5	1.08
表现	164029	17316	26	5	1.08
几乎	164029	17316	26	5	1.08
死亡	164029	17316	70	10	1.07
鬼神	164029	17316	89	12	1.07
情况	164029	17316	43	7	1.07
吃	164029	17316	129	16	1.07
比	164029	17316	61	9	1.07
物质	164029	17316	52	8	1.07
称	164029	17316	52	8	1.07
说法	164029	17316	35	6	1.05
广泛	164029	17316	19	4	1.04
邪恶	164029	17316	19	4	1.04
床	164029	17316	19	4	1.04
活人	164029	17316	19	4	1.04
食	164029	17316	27	5	1.04
注意	164029	17316	27	5	1.04
听到	164029	17316	27	5	1.04
出	164029	17316	198	21	1.04
现象	164029	17316	124	15	1.03
声音	164029	17316	54	8	1.02
其它	164029	17316	12	3	1.02
留下	164029	17316	12	3	1.02
魂魄	164029	17316	12	3	1.02
具体	164029	17316	12	3	1.02
诡异	164029	17316	12	3	1.02
事实上	164029	17316	12	3	1.02
人生	164029	17316	12	3	1.02
古	164029	17316	36	6	1.02
而且	164029	17316	45	7	1.02
几	164029	17316	45	7	1.02
个	164029	17316	166	18	1.01
疾病	164029	17316	28	5	1.00
真	164029	17316	55	8	1.00
它	164029	17316	153	17	1.00
这样	164029	17316	46	7	1.00
感受	164029	17316	20	4	1.00
仍然	164029	17316	20	4	1.00
表示	164029	17316	37	6	0.99
衣服	164029	17316	37	6	0.99
走	164029	17316	76	10	0.98
常	164029	17316	66	9	0.98
稱鬼魂	164029	17316	1	1	0.98
等於	164029	17316	1	1	0.98
指似人	164029	17316	1	1	0.98
凡物	164029	17316	1	1	0.98
亚细亚	164029	17316	1	1	0.98
灵术	164029	17316	1	1	0.98
神道教	164029	17316	1	1	0.98
耳食录	164029	17316	1	1	0.98
田卖鬼	164029	17316	1	1	0.98
重现	164029	17316	1	1	0.98
枯乾	164029	17316	1	1	0.98
請過	164029	17316	1	1	0.98
門徒	164029	17316	1	1	0.98
趕	164029	17316	1	1	0.98
們卻	164029	17316	1	1	0.98
修為	164029	17316	1	1	0.98
蛇精	164029	17316	1	1	0.98
花精	164029	17316	1	1	0.98
平起平坐	164029	17316	1	1	0.98
提昇	164029	17316	1	1	0.98
與為	164029	17316	1	1	0.98
含冤	164029	17316	1	1	0.98
呼應	164029	17316	1	1	0.98
鳥山	164029	17316	1	1	0.98
石燕	164029	17316	1	1	0.98
畫圖	164029	17316	1	1	0.98
1776年	164029	17316	1	1	0.98
聲稱	164029	17316	1	1	0.98
嚇人	164029	17316	1	1	0.98
外觀	164029	17316	1	1	0.98
示人	164029	17316	1	1	0.98
提起	164029	17316	1	1	0.98
举足轻重	164029	17316	1	1	0.98
處於	164029	17316	1	1	0.98
獨立	164029	17316	1	1	0.98
當兩個	164029	17316	1	1	0.98
超渡	164029	17316	1	1	0.98
亡靈	164029	17316	1	1	0.98
纏擾	164029	17316	1	1	0.98
頭馬面	164029	17316	1	1	0.98
國人	164029	17316	1	1	0.98
說死後變成	164029	17316	1	1	0.98
日文則	164029	17316	1	1	0.98
「亡	164029	17316	1	1	0.98
幽靈」	164029	17316	1	1	0.98
「怨	164029	17316	1	1	0.98
簡單	164029	17316	1	1	0.98
複雜	164029	17316	1	1	0.98
小蟲	164029	17316	1	1	0.98
人枉死後變	164029	17316	1	1	0.98
厲鬼報仇	164029	17316	1	1	0.98
雪恨	164029	17316	1	1	0.98
尋	164029	17316	1	1	0.98
情節	164029	17316	1	1	0.98
蒲松齡	164029	17316	1	1	0.98
